class,Tweet
neg,'On the train to NYC. Yankees game today at 1. Bar Car is not open  High hopes for A.J. Burnett'
neg,'I cant believe its already 3:40  these past 2 weeks have gone so slow '
neg,'ooohhh Mileys off to Germanyy  shes sad abt leavin  her fam! Can t wait for news.. '
neg,'Well...here we go .. starting off the day...cleaning is going to be my worst nightmare '
neg,'is sat at her parents house nursing her kidneys ouch!!Had a lovely wknd with Oliver tho apart from the slight illness '
neg,'@briten877 Cool! You havent commented on mine  [You havent filled out your profile info either!] '
neg,'@Samantula Didnt know you had a blog, but I cant see it since I don t have a xanga acct  Is it about dance? '
neg,'Is getting ready to go slave away at the Gap. '
neg,'at work '
neg,'so worried i am starting to get arthritis in my hands, at the old age of 34. '
neg,'its Sunday...means no stores are open and tomorrow is Monday... '
neg,'@greggarbo it wont let me message you back, and she hasnt gotten back to me yet '
neg,'doing p.e synoptic '
neg,'@TickleMeJoey i want 2 go 2 the concert  maybe someday... PLS PLS PLS come to croatia!! &lt;3'
neg,'I crashed '
neg,'cant swallow '
neg,'On my way back from the beach! '
neg,'@RealHughJackman CCF - save a childs life who needs a heart transplant - we need research $$$ - HELP - dont forget the kids.  '
neg,'Wow chaneles nephew passed away yesterday.. He was part of a drive by and got shot 6 times for no reason. And she still came to work.. '
neg,'@jademaid Id love to have a hammock, might have to invest in one this year since I cant put the trampoline up  '
neg,'Dissapointed that the 4 ticket sixers playoff game isnt until the 2nd round.  and were going to lose horribly first round, so oh well.   '
neg,'i am so tired....oh my god....and my foot is killing me '
neg,'Not happy that ive been at work for two hours already  Devin tired. '
neg,'@screweduptexan I grew some one year in a sunny spot but they never came back  might give them another try'
neg,'Ughhhhh. Back to school tomorrow  only 1, 2, 3, pos, 5, ok a lot of days until summer vacation.'
neg,'i hate sunday '
neg,'Still stiff/sore from losing that fight with a car yesterday. Bike needs to be inspected so no races today '
neg,'really wants her �20 cred to go on her phone so she can have unlimited texts and internet for april and may '
neg,'I made Thirteen mistakes at this mornings service.  I counted. Sorry, God. '
neg,'@jazzyobaby Who are you telling? I was so sad when my school schedule didnt fit the work schedule so I had to quit.. '
neg,'Resetting my laptop and crossing everything. '
neg,'@quimo Morning! heading home! Im sad! '
neg,'@duketrott Ehhhh.... probably not. I cant be certain. But, not that I know of. Theyve banished it to Saturday night, so, probably not.  '
neg,'I love the way Paul sings years in The Penultimate Clinch. Also, I want my phone    '
neg,'Man, school starts again tomorow '
neg,'i must have slept in a very weird position last night cause my back hurts '
neg,'Need ticketmaster to give me good news soon '
neg,'*sigh* no stitching yet.  This is a BAD day. '
neg,'@bbc10127 yea it really sucks '
neg,'has a headache '
neg,'today, I took my first photo with a lens flare on it '
neg,'The rain is making me sad '
neg,'Morning comes too soon.... '
neg,'needs help - reformatted and drivers wont install for audio.  Crashes half way through.'
neg,'theres a girl sleeping in my bed preventing me from playing Ninja Blade '
neg,'its sunday  that means the weekend is about to be over  booo'
neg,'@psychocha my slr is dead to the world now. my uncle broke it. then tried to fix it. then made it worse  so now it cannot be fixed.'
neg,'@leehal its looking perlous for them now '
neg,'Last night of the Roadshow soooo sad  Wat will I do with myself?Oh well church today and they say its gonna hit 100 degrees this afternoon'
neg,'have to have my laptop all cleaned and shit coz the viruses  dno how long its gonna take'
neg,'neck herts '
neg,'Oh dear, there is that Sunday evening feeling - work tomorrow '
neg,'awwww well i feel silly '
neg,'@janelowe same old same old been asleep and then woke up struggling to go back to sleep '
neg,'Ah, a good week off, our recycle bin is overflowing with empty alcohol containers, back to work and the gym this week '
neg,'@Targuman Re: eternal cost of blogging. Yeah, Ive probably got a special corner of Hell waiting for me. '
neg,'I want to buy a load of .hack// anime, but Amazon dont have very many of the right region coding '
neg,'Hiding in my bathroom..the gruesome twosome have arrived '
neg,'Damn I thought my migraines were gone but they aint '
neg,'Wow, I was super tired last night! But I think I went to bed too early bc everyones barely going to bed &amp; Im WIDE AWAKE lol dang it  '
neg,'Missing my friends from home. '
neg,'For some reason I want to watch HSM2. Broke my dvd though '
neg,'cant read new moon for 27 days as im getting it for a birthday present  not happy'
neg,'@silvergrrl please also keep @JackThaCat in your thoughts. His tail had a run in w/me &amp; the recliner. Hes home, but sporting a cone. '
neg,'@loumacuser You mean like when AOLers first got on USENET back in the 90s... Yeah, that was fun '
neg,'Its actually sunny!! :O Yay! I dont wanna go back to school tomorrow!!!!  '
neg,'soooo tired and still have shitty cw to do  off for a cuppa, chinese tonight?'
neg,'@caiers that sooon????? RK ampf! lol. but also want YSL!  too bad its 350usd and no way to reimburse overseas stuff. sige this week...'
neg,'Leaving the beach.  Back to reality. Humph!'
neg,'so hungover slash maybe still drunk. need shin ramyun to cure but im out '
neg,'At the airport......heading back to the real world '
neg,'@LauraOz im...okay... just really really sad... *sigh* '
neg,'Working on something all over again that I forgot to save '
neg,'Woke up with a sore throat '
neg,'I apologise for not being able to weird  its just the you dont spell it how you say it ...'
neg,'@stephenfry Very sad, again the ref was against us   Fingers crossed for next couple of games.  Poor old Gunny'
neg,'everyone is not as active on twitter as they used to be. not even miley '
neg,'back to london '
neg,'back to college tomorrow '
neg,'aww man! it didnt come up as a link! '
neg,'@hielmy - Setuju, walo yang bikin minus itu batesan 200 foto, hiks hiks  Re. Flickr.'
neg,'@TickleMeJoey wahh. im sorry joe. '
neg,'THAT OLD MAN WAS BEHEADEDDDDD  I liked him. he looked adorable'
neg,'Also just decided I need a boyfriend. Looked at the trash like &quot;Damn, I gotta take all of that out? Hmph!&quot; One downfall to being single. '
neg,'sick  watching cartoons'
neg,'@JemPolitico me too, howeeer i think the fries and the midnight pizza did me in '
neg,'@DasKatzi apparently dust after a rewire will take months to clear  I may have to buy an ionizer.'
neg,'@TokyoDriftMovie Oh really?It is the warehouse?How cool is that? just love the movie. Its so awesome.Wish I had only one car of these '
neg,'To my credit there I was traumatized by an incident between my pup Sampson &amp; a baby opossum. Sammy 1 Baby opossum 0 '
neg,'@versace5 it wont be the same without you!!!  '
neg,'is studying Marketing '
neg,'Wishing I was outside in the beautiful weather......working instead '
neg,' i have the flu i feel horrible... @roly50100150 please come home i feel bad'
neg,'Tottenham 1-0  Newcastle Ouch, Newcastle looking good for the drop now '
neg,'is suffering from a broken wrist '
neg,'why does grass have to grow  . cutting crass hurts ur back and it dosnt help if its hot '
neg,'bored out my mind at church  ughh'
neg,'i cannot believe it is the last day of spring break '
neg,'NO ONE DOES WORK EXPERIENCE! well i  cant find anywhere  and everyones already has thier placements sorted out :S  ahhhhh '
neg,'@simoncurtis  i wanna be there so bad! I love that place even tho ive nvr been! Ive been to san diego &amp; i luvd it. So warm &amp; eventful!'
neg,'Im trying to figure out how this twitter thing works  '
neg,'Waking up and going to work. I hate it and would so much rather go to church today. Maybe next Sunday '
neg,'@RobPattinson_ i ? u!!! tho im tooo far away to see u  im in the caribbean!'
neg,'@Derwreck12 that. is. the. worst. sorry '
neg,'@wjb17 LOL. Same here.  I want one so bad.'
neg,'damn PES2009. ive never seen so dumb teammates before '
neg,'@kalinga @dinidu well hell just have to make do with us then...  which aint so bad tbh ;) '
neg,'I killed a rabbit. Not in a malicious way. It ran infront of my car. WHAT WAS I SUPPOSED TO DO? '
neg,'NOOOO !!!!! Want to have Holidays 2 weeks more '
neg,'@Emmasays aww poor guy  lol how olf were you then?'
neg,'Fuuuuuck. Nearly over my download limit already. Ima die   #fml'
neg,'Stuck @ home missing out on another beautiful day '
neg,'Paperwork proved no match for me!  Can now enjoy the rest of the day -  no, wait... ironing!  '
neg,'@yuvipanda i second that. stupid limit '
neg,'I gots a lil hangover from last night  ouch!!! but Im good!'
neg,'@iloveparamore98  irl you a boy or girl?'
neg,'@ home, just took a long shower... shit its laundry day '
neg,'Talking with my mom in Curacao!! its not fair shes in the sun and I m in the cold  lol '
neg,'my back hurts really bad '
neg,'@SaraaRC all of them were great, isnt it? what an amazing show, they should play it again! i miss it so much! '
neg,'now that i woke up for a baseball game that got canceled anyways im tiered but i cant go back to sleep  plus i have t'
neg,'does NOT want to write this history paper '
neg,'I am *so sorry* to those party guests of ours who had to wait several hours for me to arrive, and then I was too tired to be any fun '
neg,'Live football! On my telly! For free! On ITV '
neg,'is pakcing but has no where to move to '
neg,'@DrLizDonovan  well that sucks'
neg,'school tomorro  just cant wait to get up at 7 in the morning, ill need a crayon to lift me out ! lol'
neg,'Tonight sleep at our new ruko in Bali, listening not to oceans music but motorcycle  duuh...tomorrow I should move to jimbaran'
neg,'its hard being the oldest one here '
neg,'Good morning! Today will b a very short day tomorrow school again '
neg,'Dropped my iPhone in the sink. I hope it works when it dries '
neg,'@sineadskinner poor u   started at my flat went to a cocktail place then lock tavern then went to our friends house to listen to music!'
neg,'Studying all day... '
neg,'why is the weather so nice when yer mean to be studying '
neg,'registering for class just makes me depressed  but @kaityb i am soo excited for tomorrow!!'
neg,'@Apuje  lol! Too girly?'
neg,'On the train home from Staines, dreading work later '
neg,'@joshgeeksix Maybe have sci fi scoop it up? Its always the great shows that get canceled. '
neg,'promised me. '
neg,'Headed to the airport with hubby.  I will miss him! '
neg,'Mourning the end of Spring Break.....I dont wanna go back '
neg,'my kids are going to PR tonight for 2 weeks!!! '
neg,'Im just relaxing at home its sunday.  shit!  school tomorrow :@:@:@ well im getting tonight far cry so yeah!!'
neg,'@harrisj contacting Customer Service. I look forward to that blue bag on my lawn every Sunday. Very disappointing... '
neg,'Starcraft 2 Terran-Tron is badass!  Too bad its an April Fools  http://starcraft2.com/features/terran/terratron.xml'
neg,'Seriously in need of a back massage, I did something to my lower back '
neg,'cant really trust weather forecast, its sunny but we ve canceled Bear Mt trip  '
neg,'hardcore studying begins now. '
neg,'@PoisonIvy69 wot u mean un young '
neg,'@skinnermike that sounds bad  are you ok? X'
neg,'craving Paneraaaa! damnit whyd I quit....miss the free food '
neg,'@MochaMom365 Thank you very much for the follow friday! Hope youre having an awesome Sunday! Its pouring down rain here '
neg,'has tried and spectacularly failed to find anyone willing to cut keys for him on a sunday '
neg,'@coColesy twitter is hard  lol'
neg,'@bboygraphix.. Yeah I missed the first hr and  it was quite a boring fight. Esp the main one. '
neg,'180-7 first cricket game of the season and I got 15 before being stumped '
neg,'Ugh school tomorrow up at 7, bright and early '
neg,'merrrrg...i got up at 7:30 for nothing '
neg,'needs to go shopping for Milos party...im in pain  dont wanna go anywhere'
neg,'poor him  He doesnt sound good..'
neg,'i just cut myself a fringe!  btw dont know why im writing on here, i have no followers  how sad'
neg,'No more drinking for me... '
neg,'@PoynterPerve Im only on the green ones as most of the people I chat to are on there, Im year 12 so AS Levels. fun not.  '
neg,'@euripidean ill neither ever get  nor wanna  get  spongebob. the BBC &amp; Boston s WGBH create great PBS TV &amp; Brits get our worst shite.  '
neg,'A thriller. Nail biting stuff. 4 points to guarantee Forest stay up. We could do it with less....Thank you Ipswich (sorry @stephenfry   )'
neg,'wondering whats going on in U.S. at the minute and if anyone from there is as bored as me '
neg,'Scorching day here, 17C. Summer is here early! Pity Im up at 5am tomorrow for the early flight to London '
neg,'@Ainz90 I suppose its been ok. I havent done anything for once. I shall be exercising at 6 though....  Yours? x'
neg,'@KWill1 why cant I write on JFs wall in fb?   I just wanna know the name of the girl at Michael Kluthe salon, do u know? '
neg,'wants to twitter but dont know how '
neg,'@charlotte_doyle Stuck in doing Physics, Chemistry, Business Studies and my Media movie. Sweet. '
neg,'@JadeJeronimo Jade! What happened on the forums? Im gone for like a day and come back and its closed '
neg,'@driis: I am enjoying your online radio, great AM music, ps just finished s.3 of the wire last night and watched you die '
neg,'i wanna go home '
neg,'Nervous tmrs first day of school  - http://tweet.sg'
neg,'p.s. someone buy me SuGs new album? lol xDD i know im supposed to be getting a job  its not easy though. ill figure something out!'
neg,'@Blairxx why pissed off ? '
neg,'Visit to Leicester over   Had fun watching filming of zombies invading the city streets. An early morning surprise for residents. 7.00am!!'
neg,'@conniecrosby and unfortunately you wont be able to do the upgrade from the train '
neg,'is enjoyin the nice weather, shame im in work '
neg,'Why does Cahill have to talk about beating us in the semis when he played for Millwall  My first ever away game'
neg,'At work and just started getting really bad stomach pains - Owwie  - Nobody else is here, so I cant go home early'
neg,'http://twitpic.com/3lh5q - It Wont Kill You To '
neg,'I like the Yankees too..... '
neg,'FUCK. maths end of unit '
neg,'@wtfxchelsea_ omg!  i iz sooooooo SORRY!......ur pics r going all over the interweb hahaha jk jk'
neg,'@gjoosten I know! Freaked me out though. Her feet were dirty, thats what tipped me off. Now shes crying to go out  '
neg,'ok I cant get  a bold or the new curve on verizon  --Verizon needs new options cus the storm suck!-- ( but I may get it)'
neg,'Wonder why I cannot fetch RSS feeds from the web to my locahost wordpress test page.. '
neg,'Sore throat. '
neg,'I wanna be a Miley Cyrus Friend '
neg,'Well despite having a crappy start to the day ive actually got quite alot done. Wrecked now though feel like its bed time '
neg,'on my way back from the cape. wish we coulda stayed longerrr '
neg,'Teddys sick. Poor little guy.  He got all his shots yesterday &amp; those always give him a fever &amp; make him sick. Hes just moping around. '
neg,'Off to go weed the garden.  With a migraine.  '
neg,'Almost time to get on the road toward home.  '
neg,'Had a great night with some bad revelations.  I always want someone I just cant have.'
neg,'urghh, im gunna leave the paragraoh on death camps til tommrow '
neg,'@pritchardswyd I love tenby '
neg,'tweetdeck isnt working for me...i cant keep up with watkins on here.  '
neg,'@MiniMcBooom I didnt make it to the party because my pants dem was too tight, and i couldnt walk to deh bus stop  '
neg,'I hate mornings after.    ugh!'
neg,'@dannypcrook sorry bab just got ur message,hope u didnt miss it '
neg,'is studying for the SATs, it sucks '
neg,'@ThatKevinSmith Great recent podcast. Jenny McCarthy is awful. Check out http://jennymccarthybodycount.com She hates us autistics '
neg,'watching the race has me wanting to go back to Shanghai '
neg,'@xFAWNx it doesnt work for me either!!  wahhh'
neg,'Is working '
neg,'im 2 guilty 2 go on animal crossing, but ky wont go on 4 me!!! '
neg,'@GrizzlyCullen I dont think you have ever made me think that.  Do you want one to be?'
neg,'cleaning out my itunes lol im tired of putting my ipod on shuffle and not wanting to listen to any of the songs '
neg,'has no clue what to write her dissertation on '
neg,'@hoshigirl lol. yeah. for me too. I hate waking up early, I have to be in the office at 8:30A. '
neg,'rain again '
neg,'bulls and mavs...nice if only indy was in it '
neg,'Ah! Early start to my work day. So tired '
neg,'@catastrophie_90 no the film is... im not '
neg,'Recovering from a serious case of whiskey and water. I learned that in-call girls dont like when you pay in small bills  ... WHAAAAAAAAAA'
neg,'@nicholasmegalis Im an oldschool Joker fan even before Heath Ledger, God rest his soul. '
neg,'ok @seesmicdesktop seems to kick tail, BUT i want my friendfeed and i want the text/share window at the bottom like @twhirl   great UI!'
neg,'going to a bridal shower today, looks like its going to rain '
neg,'@Nellynoodler aw gosh yeah i bet it really sucks  hope they dont bother you too much! dinner party was gooood, hollie is a great cook! xx'
neg,'was scanning but the bloody thing packed up '
neg,'@MorningGlory19  Cant say we didnt try '
neg,'my throat is swollen and tight, and health services is closed '
neg,'@miafreedman Hey Honey! Just discovered how to find the &quot;@&quot; messages and discovered yours! A tad too late as back in nyc  How are you? xxx'
neg,'@Mandums OMG that mustve hurt!! I havent been up to much I had to work yesterday  how about you? '
neg,'missing my sister - tears '
neg,'I think I need a FOTC breather!  all these newsfeeds about who they met &amp; how great the audience was is makin me sad! I want to go back!'
neg,'@joemaclover  fine..rub it in that you get to go see the sumer show. '
neg,'@Fearnecotton i miss seeing you and @REGYATES at TOTP. '
neg,'Oh no, its almost Monday... again! '
neg,'@ckfio awe...    I have one, I just didnt think this job was going to be as big as it has turned out to be, but I have learned my lesson!'
neg,'my fishys have a diesease and are all dying  its a sad day in the house...'
neg,'@billbeckett Thats kind of near me in a way. Sweden. '
neg,'My phone will not turn on '
neg,'Doing Homework '
neg,'so.. sufi isnt the winner.. sad .. @navinpai sources wer indeed wrong.. '
neg,'got home. feelin exhausted. '
neg,'off to fetch my boy from his afternoon at the football... not a good day for 4 hours in the car '
neg,'is summer already over? why is i raining? '
neg,'sad to leave dayton '
neg,'so I guess my laptop soundcard died . . . '
neg,'Orient Special Chicken - &quot;highly recommended&quot; or not - not so special. '
neg,'@Mizz_Q daily downloading  '
neg,'iPod--please work. i need you '
neg,'My feet are hurting '
neg,'WANTING TO BE WITH HIS GIRLFRIEND TOGETHER AGAIN! '
neg,'I hate early morning arguments. They make me frown '
neg,'is leaving Indiana soon  ill be back in 2 weeeeeks!'
neg,'Sad days make me think a lot, and I dont wanna '
neg,'im already starting to get a bit sad that its all gonna be over in a couple of hours  #asot400'
neg,'@MissLDN aaaahhhh i missed it! '
neg,'Ok well now its time for me to head to bed, have uni tomorrow  Bye for now xoxo.'
neg,'@fartfree lol.. I shouldve been there  At least for the girls, if not for Iron Maiden. :p'
neg,'done two chapters today and only 8 more to go '
neg,'Is being forced to apply the Spanish shes been learning in school. No me gusta!  No comprendo espanol cuando yo escucho espanol.'
neg,'Doing Alevel geography revision '
neg,'is at church waiting for friends to show up ... Where are my peeps '
neg,'@joshgister  hang in there Josh... sending good vibes your way.'
neg,'Having sunday dinner...yummy to the max! Then time to study some history '
neg,'Why cant I find the creative vado hd in any Belfast shops? '
neg,'@Sankofa52 all that was the shit...no1s funny lik that anymore '
neg,'@DarkAeon Likewise... I hope to get 100 soon... though not sure all will be fans of 9 to 5 '
neg,'@angiesweethome '
neg,'hasnt done all her homework  i was fooled'
neg,'maybe going to the french quarter fest today....but it looks like its gonna rain '
neg,'I am feeling like the zombie of death at work. Oy. I hate working at 730am every weekend.  can I have my life back?'
neg,'Im very sad. '
neg,'@georgewezsley good morning..Im having church praise @ home this morning '
neg,'God everyones having roasts today '
neg,'Im Sad. I Didnt Get Tickets For The FOB Show In Atlanta On Thursday. I Want More Than Anything In The World To Go, And I Can t.  '
neg,'watching IPL ... i am addicted '
neg,'i wish cory lived in new york. miss him terribly '
neg,'@ATT007 Well so much for the Pre coming out today ... '
neg,'The three clubs I detest most in the world are the last three left in the FA Cup. '
neg,'@ariestotle HAHA I want the 4th year people to see this  I WANT TO LOOK SWEET ) nose. wala akong plans )'
neg,'Still having problems getting a pic on profile!  '
neg,'@KevinSpacey sounds awesome! Wish I could seem them   you coming to the UK anytime in the near future?'
neg,'finished the chemistry paper! now onto maths.... '
neg,'@valingride valerieee i dont feel gooddd  but anywho i was thinking of using nath. van to get coffeee can i come down and visit im boredd'
neg,'I need to clean the house   How boring!'
neg,'Just jettisoned three cariages at Nottingham, all of us crammed into the front two so I lost my table n leg room '
neg,'has  faced the fact that his &quot;machine-washed&quot;  I-Pod cannot be revived   Must turn loose of false hope and and discard ..whaaa..'
neg,'@addapineapple Ive been there but nope '
neg,'oh god watched the sequal ill never get that time back  my eyes they bleed, wil this cold go away already??'
neg,'@OneLuvGurl  yeah '
neg,'Just put up my baby girls crib!! Shes always slept with me before so... wish us luck.  '
neg,'Oscar is getting used to having his new brother at home. BIG changes  http://apps.facebook.com/dogbook/profile/view/6440768'
neg,'taking care of my sick boys '
neg,'lost his camera last night '
neg,'Finally exporting the amazing video I made for my friend. Not going up on youtube though '
neg,'@helen_johnson as if you went out without me '
neg,'updatin her myspace playlists, addin some of that crazy -ish...goin to Harlem today, but don kno y im wake (only 4 hrs of sleep) '
neg,'I think my puppys sick '
neg,'Im at work. in the security truck right now. would rather be in bed '
neg,'Good morning! We are all fighting colds here.  Need to get more oj fast!'
neg,'Oh god, just remembered that I am back at school tomorrow! '
neg,'@MariahCarey I feel like a bad fan missing the NTTs and &quot;all that jazz.&quot; Was sleepting. '
neg,'@C_Elizabethxo What nowwwww?  xoxo'
neg,'seriously wants to just crawl back into bed and not get out for about a week! '
neg,'enjoyed last night, shame it had to end  now back to reality !'
neg,'This Sunday, I have to clean (talk about no free time) and do homework, my michigan bare book and get spring clothes organized.  a waste'
neg,'@hileryfaye i wanted to go to the reds game on my birthday! still havnt been to a game '
neg,'Omg the sunshine! Such a shame to have spent so long in tpub. Wiv bro now, getting nervy bout tsemi. Been nicely distracted  til now!  '
neg,'@evkh I dont want to be a Simpson   Can I be Tank Girl? Just... because.'
neg,'I really hate the fact ive left all my work till now '
neg,'Going to see the Yankees today.  Hopefully theyll do better than their 22-4 loss yesterday!   Eager to see the new stadium.'
neg,'Hospital-were pulling the plug today.  i freaking hate hospitals. 3rd week in a row ive spent in a waiting room--for 3 differnt people '
neg,'@fuzzy29 Yeah I know what you mean. I thought it was more than this too. Kinda disappointing huh '
neg,'AMY HATEZ FUCKIN LIFE AND WISH I WAS NEVA BORN. ROFL I WANNA DIE SO BADLY!!! '
neg,'where has Mika gone '
neg,'Grr.  Have friend who is determined to massage me today (trade, he owes me). But he talks A LOT, blessim.  Not in the mood, blehhh...  '
neg,'Its sunny and I want to be outside but cant, for two reasons: 1.) I have to work on my assignment. 2.) It s freezing cold outside  '
neg,'@Bareleesane cindy lauper  johns songs are too good for me haha. yay for concerts! i wish i could go!'
neg,'@Gabrielle_rae I love cats!  Too bad we can have them as we rent.   I would love 2 kittens &amp; I would call them Buttercup &amp; Tinkerbell '
neg,'California residents, how much more will you pay this year?http://tinyurl.com/3m7k9k $972 more for me '
neg,'I miss my BFF! '
neg,'The last day before going back to work '
neg,'Off to a COLD day of softball, then Red Robin for Emmas birthday. Unlimited french fries here I come. Oh shoot, weigh in on Tuesday '
neg,'Just about to watch the Man-U Everton match with 2 Man-U supporters - will be very tense at our house '
neg,'@MickyInTheSky ehm Holly Valance follows u?? unbelieveble '
neg,'Back home - I miss Franz '
neg,'woke up way too early today '
neg,'Had one of my reoccuring dream themes last night: Im at an amusement park and I never make it to any of the rides. '
neg,'ive hit the boredom stage with this dissertation   sick of the library now- i wanna be in the sun!'
neg,'Going to church. I have so much sleep to catch up on, and english homework. '
neg,'Not happy with twitter. I cant see the public tweets anymore.  '
neg,'Hehehe. I am gonna enjoy my last hour up! And then sleep for tomorrow '
neg,'Now Im not feelin all that good as I was a few hours ago. Stomach is feelin sooo nasty and got a damn headache '
neg,'@lykabonifacio Love Maxxie &amp; everyone else! I wish they were still in the series '
neg,'@patientZeroBand thanx! U too! Im having a bad day today! '
neg,'is finishing the gin but has no other booze '
neg,'At work from 9-4 '
neg,'Been sat outside for about an hour or so with a j2o and a potato, goodtimes plus my legs are slightly browner! Off to so more work though '
neg,'@joemaclover  whatever.  *cries*'
neg,'Still sad VLV weekend is over '
neg,'almost out of beli hai  no more smoking for me after this, thank you.'
neg,'work until 4 &amp; then catch up on homework '
neg,'@AishiaO Hey girly how was the show?? I missed Britney in Atlanta '
neg,'@briemory Yeah Im fine. Just really sick. my throat is killing me and Im running a high fever. I m just not use to being sick.  '
neg,'@djdnice  that would be a perfect time to test out silencing headphones.'
neg,'@haelo07 Any packages come? Still none for me. '
neg,'rafa is winning yay! nearly 3500 words on this thematic not quite done yet... want to watch man utd '
neg,'I hate hitting the &quot;funny bone Pain squared... Then right after that I hit the BBB  '
neg,'is at work.  '
neg,'just dropped a biscuit in her cup of tea....END OF THE WORLD!! '
neg,'learnin for the math test '
neg,'feeling kinda lonely...I want someone to cuddle with '
neg,'Im friken bored! Im going to work soon..  '
neg,'@SkeeterHansen sorry to see you leave... '
neg,'thinks my bff is mad at me   she wont answer texts, call back, etc.....  the conversion went well yesterday!  Now for tomorrow...'
neg,'ystrday-4 kids out door by 9, drop 2 kids off, pick 1 up, bowling, bank, &amp; track meet all day. Ready to do nothing 2day! but not '
neg,'almots out of bali hai  no more smoking for me after this, thank you.'
neg,'I texted Gran saying will ring tomorrow. Got a text back saying: Coward!   Oh... '
neg,'showering and getting ready for work '
neg,'@pcnlove125  Clean Me!'
neg,'@adlantis  Clean Me!'
neg,'@tweetchild  Clean Me!'
neg,'I wish I had the rupees to buy Latika!!   Id give her a slum free life.'
neg,'Crap. 2 Dutchies in the leading group of 3 and the russian wins  Still, Gesink en Kroon did al great job in todays AGR'
neg,'No play time for me! Straight workin '
neg,'on way home from girls nite cant believe its over ALREADY   '
neg,'3 hrs to gooo  #asot400'
neg,'Back in chiiiiitown. '
neg,'@johncow Oh Great... another Auto-Follow tool. We need more of those. '
neg,'I need a shower and some food! Then its time to be productive '
neg,'Im worried that developers are going to start using push notifications as ads. Imagine suddenly an ad pops up while typing an email. '
neg,'I sharded '
neg,'Beautiful day! working on financial aid stuff and fundraising letters. I have to work tonight though '
neg,'going shopping..yippee....id rather go to the driving range '
neg,'getting packed...off to Texas for a week, too bad its for work '
neg,'An hour has already past and Ive done barely antthing '
neg,'@KeithandComps Even more bummed now that I couldnt make it '
neg,'Hes stu k in traffic every othe time this happens I dont get to see him  '
neg,'Up and about, going out today i hope it dont rain '
neg,'Relocating b/c the landlord is showing the house  Off to read in a coffee shop or something... ? http://blip.fm/~4l137'
neg,'@samantharonson ..I hope that you have not been offended with me.it was only a joke.. '
neg,'Started off the day with a punctured tyre, ended the day with the film all shot and early. Now months of post-production! '
neg,'@AlanCarr hahaha is Jodie Marsh on Twitter? Nicccccce i cant find her '
neg,'I gave blood today &amp; now my arm aches '
neg,'Seems, as usual, I missed quite a bit last nite....D doesnt seem happy '
neg,'@pennylaneuk Aww Penny that sucks  I will send some sun over to you, pronto!'
neg,'@somegirlsays tell me about it, well its sky thats keeping it all to themselves  wish could afford better tv... '
neg,'Will have to miss end of Man U vs Everton ass I have to turn up at a work meeting later '
neg,'Weekends are too short.  i hope this week goes by quick!'
neg,'@fortheloveofme hope your tummy gets better soon  I get indigestion quite often and I take fiber pills/ ENO. maybe you could try it?'
neg,'im debating on going to go get some free continental breakfast or not.... id have to go alone  '
neg,'i hate my pale scottish skin! burnt already  lol'
neg,'My chest hurts from coughing so damn much. I wish the anti-biotics would start working. '
neg,'@jamesmoran The Ben &amp; Jerrys in the freezer beats a 99 with a big chainsaw any day! Except for the whole nostalgia bit '
